ID,y
1,82.946335
2,98.14826
3,83.35636
4,77.06687
5,112.75282
8,91.63157
10,100.42503
11,95.203
12,117.114296
14,96.62423
15,116.04029
16,105.63654
17,100.877464
19,91.03709
20,100.243965
21,104.02781
22,118.32231
23,100.877464
26,96.16525
28,95.657845
29,100.877464
33,100.877464
35,94.25918
41,100.877464
42,94.47264
43,112.877525
45,102.15084
46,101.280975
51,94.1808
53,86.08987
55,109.16108
56,104.64694
57,109.89214
58,99.16616
59,103.44138
63,105.372154
64,94.71698
65,100.69627
69,97.36314
71,99.03803
72,104.63926
73,95.57287
76,103.839066
77,96.936874
78,116.05818
82,94.41238
83,100.69627
84,101.007515
85,106.90521
87,110.58673
88,100.877464
89,109.95136
91,97.82445
93,102.70879
94,104.07614
95,99.94534
96,111.408264
97,95.52282
98,109.849106
99,98.88978
101,106.11942
103,109.95136
104,93.69751
105,109.63533
110,97.402626
111,102.155495
113,104.696785
114,96.49411
115,112.03925
117,109.95136
120,96.07839
121,112.8973
122,94.13447
123,106.249626
126,108.3264
132,109.40036
135,110.62632
137,102.58052
138,94.97606
140,104.07543
142,108.72517
144,110.812836
148,91.80591
149,112.215385
155,102.22882
156,111.70946
157,95.52282
162,113.449684
163,95.94135
167,94.548515
172,112.877525
179,107.27763
180,94.548355
181,107.89519
182,97.88789
183,109.95136
185,109.95136
187,106.99888
188,93.20307
189,94.61641
191,94.441475
192,103.61688
193,93.74966
194,107.46774
195,95.077194
196,99.42026
198,109.083336
199,111.18702
201,100.05055
204,95.07203
205,105.82517
206,105.95035
210,97.10778
211,106.11942
216,111.6918
219,117.114296
220,92.26341
221,109.598206
226,107.89519
227,93.87774
228,110.224266
230,109.574776
231,95.52282
235,118.32231
236,98.12085
238,111.64355
242,104.12444
243,94.63758
244,79.556755
245,110.83237
247,117.36085
248,94.68369
249,91.63035
250,113.46528
251,98.12085
253,118.32231
254,95.656685
256,95.299194
257,92.26726
258,108.875374
259,97.50296
262,91.72385
266,101.3547
267,112.96882
272,103.89771
273,109.95136
275,93.82972
276,108.751015
279,93.96665
280,100.69627
283,92.74642
285,109.944855
288,109.95136
289,109.07972
290,100.93191
291,95.46003
292,105.61801
293,105.8139
296,94.05703
297,105.58398
298,116.05818
299,93.97678
304,91.732025
305,88.9036
306,94.6469
307,108.95818
311,103.892456
313,109.05466
314,92.9258
316,109.18249
324,111.86417
327,99.093445
329,92.29807
330,109.54954
337,97.93684
338,94.99166
339,99.74129
340,93.74412
343,93.59544
345,115.89789
346,96.68101
347,112.708275
349,110.45243
350,94.71343
352,102.96749
353,92.958084
354,91.187805
357,96.01169
358,107.78631
362,108.105064
364,104.44652
365,102.24725
366,102.15529
367,106.57053
368,93.804855
370,80.81217
373,98.93342
377,94.10187
378,106.68639
382,103.839066
384,110.276
390,97.23165
392,111.80246
393,111.8845
395,94.53081
396,96.82927
399,80.50655
406,109.05466
408,109.05466
409,95.052414
410,80.64665
412,112.72892
413,89.91346
419,99.76023
420,105.47586
421,90.11829
430,105.44338
434,93.496475
436,94.86686
437,102.18913
438,90.60005
439,110.80539
440,100.89217
443,101.503555
446,95.12229
448,93.35332
452,94.59503
453,108.743164
457,98.94809
458,94.77732
459,113.78782
460,104.034065
462,104.19709
464,101.57441
465,117.114296
467,112.563805
471,106.601105
472,77.29615
473,104.99094
475,95.710014
480,102.61558
488,105.60441
490,108.95818
491,104.91127
492,83.47256
493,97.84732
497,93.796715
498,107.83853
499,94.61393
500,101.280975
501,94.93276
502,110.45217
506,88.32943
510,107.95151
511,90.72497
512,93.54836
516,94.0455
518,97.24396
519,112.708275
521,91.89946
522,111.75074
526,113.88951
529,105.90825
532,111.663445
533,94.65115
536,110.69111
537,94.88127
539,94.68914
540,106.07742
541,96.92451
543,93.81265
546,110.01623
547,98.15372
548,91.31289
551,94.73493
552,107.39669
556,101.5464
557,101.452385
558,106.57053
559,95.09528
560,105.57458
562,105.0208
566,98.44694
570,107.83853
571,102.18913
572,100.69627
573,93.745255
575,117.114296
576,109.02206
577,95.40354
579,91.37525
580,112.35432
581,109.04802
589,108.95818
591,101.93861
593,95.71788
594,105.929405
595,94.73736
598,95.341644
602,106.87569
604,111.37521
606,107.16099
608,102.25428
609,106.11942
610,96.39865
616,108.445
617,94.55634
618,107.33305
620,106.82546
622,101.94173
623,89.25579
624,109.360725
626,112.02882
628,111.673775
629,96.740295
630,109.574776
637,91.839386
638,101.126724
643,105.69826
645,102.61558
646,111.994
648,94.99649
652,98.44797
653,100.1805
654,107.83853
656,111.35356
657,104.36607
659,100.645676
660,109.49364
663,93.234566
664,110.40416
666,107.39707
668,104.804405
669,93.9809
671,95.16927
675,90.965195
677,96.30795
678,107.545296
679,103.48758
682,106.58721
685,107.42474
687,96.527466
688,94.78632
693,111.84768
696,99.38492
698,93.62846
701,100.105354
704,97.3737
705,116.78966
709,104.2674
710,98.78047
711,107.73636
712,99.229
714,110.508446
715,90.74914
716,108.95818
717,94.77178
720,116.04029
721,94.441475
724,105.34663
725,95.41631
726,100.599594
728,110.70406
731,97.67212
734,111.31328
738,93.103485
745,105.374695
746,92.529945
751,78.41351
754,95.985756
756,98.83147
758,98.19
759,109.38648
761,117.95007
766,98.94296
767,106.83726
768,89.34022
769,111.77832
770,98.7367
771,83.47256
772,107.91507
773,96.02347
774,103.14005
776,110.276
777,104.53392
780,112.877525
782,106.04322
787,103.17007
788,94.68914
792,91.25177
793,113.680275
798,108.428055
800,90.83135
806,108.95818
809,111.09211
811,106.83241
812,96.139435
814,117.114296
816,107.10783
817,94.6863
818,108.24279
820,99.54605
823,95.0748
829,94.91176
830,112.78645
831,92.19429
834,109.8403
